date,trial_number,total_popularity,total_time,planned_rides,optimal_rides,time_schedule
2023-09-28,80,7538,695,"[6, 6, 4, 4, 2, 3, 2, 6, 3, 1, 1, 2, 7, 3, 4, 3, 1]","[6, 6, 4, 4, 2, 3, 2, 6, 3, 1, 1, 2, 7, 3, 4, 3]","[0, 45, 90, 150, 225, 285, 345, 420, 480, 525, 555, 570, 585, 630, 660, 675]"
2023-09-28,81,7937,727,"[4, 5, 3, 5, 5, 5, 6, 4, 0, 3, 4, 5, 4, 2, 2, 5, 7, 0, 7, 1]","[4, 5, 3, 5, 5, 5, 6, 4, 0, 3, 4, 5, 4, 2, 2, 5, 7]","[0, 30, 45, 120, 195, 255, 315, 375, 435, 540, 555, 570, 585, 615, 630, 645, 675]"
2023-09-28,82,7997,692,"[5, 4, 3, 4, 3, 7, 3, 1, 1, 3, 3, 4, 4, 2, 5, 5, 4, 7, 3]","[5, 4, 3, 4, 3, 7, 3, 1, 1, 3, 3, 4, 4, 2, 5, 5, 4]","[0, 30, 75, 165, 240, 300, 375, 435, 525, 540, 555, 585, 600, 615, 630, 660, 675]"
2023-09-28,83,7990,696,"[5, 4, 3, 3, 3, 7, 2, 1, 1, 3, 3, 4, 4, 2, 5, 5, 4, 7, 6]","[5, 4, 3, 3, 3, 7, 2, 1, 1, 3, 3, 4, 4, 2, 5, 5, 4]","[0, 30, 75, 165, 240, 300, 375, 435, 525, 540, 570, 585, 600, 615, 630, 660, 675]"
2023-09-28,84,7557,691,"[4, 6, 4, 4, 6, 4, 7, 4, 0, 3, 3, 6, 4, 3, 3, 5, 6, 2, 3, 1]","[4, 6, 4, 4, 6, 4, 7, 4, 0, 3, 3, 6, 4, 3, 3, 5]","[0, 30, 75, 120, 195, 255, 315, 390, 465, 540, 555, 570, 615, 630, 660, 675]"
2023-09-28,85,7991,685,"[5, 4, 4, 3, 3, 7, 2, 2, 1, 3, 1, 4, 4, 1, 5, 4, 5, 6]","[5, 4, 4, 3, 3, 7, 2, 2, 1, 3, 1, 4, 4, 1, 5, 4, 5]","[0, 30, 75, 135, 210, 285, 360, 435, 510, 525, 540, 570, 585, 600, 630, 645, 675]"
2023-09-28,86,7544,696,"[4, 4, 6, 2, 4, 4, 5, 4, 0, 2, 5, 6, 3, 3, 3, 4, 7, 2, 2]","[4, 4, 6, 2, 4, 4, 5, 4, 0, 2, 5, 6, 3, 3, 3, 4]","[0, 30, 90, 150, 225, 285, 345, 405, 465, 540, 555, 585, 615, 630, 660, 675]"
2023-09-28,87,7125,697,"[4, 4, 4, 3, 2, 7, 3, 2, 0, 2, 0, 5, 4, 4, 4, 4, 5, 6]","[4, 4, 4, 3, 2, 7, 3, 2, 0, 2, 0, 5, 4, 4, 4]","[0, 30, 90, 150, 225, 285, 360, 435, 495, 585, 600, 615, 630, 660, 675]"
2023-09-28,88,7536,690,"[6, 6, 4, 4, 2, 4, 3, 5, 3, 1, 1, 3, 7, 2, 4, 3]","[6, 6, 4, 4, 2, 4, 3, 5, 3, 1, 1, 3, 7, 2, 4, 3]","[0, 45, 90, 150, 225, 285, 345, 405, 465, 525, 540, 570, 585, 630, 645, 675]"
2023-09-28,89,7514,687,"[5, 4, 1, 6, 5, 2, 2, 2, 3, 5, 4, 3, 0, 4, 2, 4, 4, 0, 3, 6]","[5, 4, 1, 6, 5, 2, 2, 2, 3, 5, 4, 3, 0, 4, 2, 4]","[0, 30, 75, 225, 285, 345, 405, 480, 540, 555, 570, 585, 600, 630, 645, 675]"
2023-09-28,90,7513,696,"[5, 4, 0, 5, 5, 2, 2, 2, 3, 5, 4, 3, 2, 4, 2, 4, 2, 1, 3, 6]","[5, 4, 0, 5, 5, 2, 2, 2, 3, 5, 4, 3, 2, 4, 2, 4]","[0, 30, 75, 210, 270, 345, 420, 480, 540, 555, 570, 600, 615, 630, 660, 675]"
2023-09-28,91,7541,704,"[2, 6, 3, 4, 5, 4, 6, 4, 0, 3, 4, 3, 0, 2, 3, 6, 4, 1, 7, 3]","[2, 6, 3, 4, 5, 4, 6, 4, 0, 3, 4, 3, 0, 2, 3, 6]","[0, 75, 120, 195, 270, 345, 420, 480, 525, 540, 555, 585, 600, 615, 630, 660]"
2023-09-28,92,7558,689,"[5, 4, 1, 3, 4, 3, 4, 3, 0, 0, 3, 1, 3, 3, 3, 4, 2]","[5, 4, 1, 3, 4, 3, 4, 3, 0, 0, 3, 1, 3, 3, 3, 4]","[0, 30, 75, 225, 285, 345, 420, 465, 525, 555, 570, 585, 615, 630, 645, 675]"
2023-09-28,93,8396,726,"[5, 4, 3, 3, 3, 7, 2, 2, 1, 3, 2, 4, 5, 1, 5, 5, 5, 6]","[5, 4, 3, 3, 3, 7, 2, 2, 1, 3, 2, 4, 5, 1, 5, 5, 5, 6]","[0, 30, 75, 165, 240, 300, 375, 435, 510, 525, 540, 555, 585, 600, 615, 630, 660, 675]"
2023-09-28,94,7962,696,"[3, 4, 4, 7, 3, 5, 2, 5, 0, 3, 4, 2, 2, 5, 5, 2, 5]","[3, 4, 4, 7, 3, 5, 2, 5, 0, 3, 4, 2, 2, 5, 5, 2, 5]","[0, 60, 120, 195, 270, 345, 405, 465, 525, 540, 570, 585, 600, 615, 630, 660, 675]"
2023-09-28,95,7533,687,"[4, 4, 0, 5, 5, 2, 3, 2, 3, 5, 4, 2, 1, 4, 2, 4, 2, 0, 4, 6]","[4, 4, 0, 5, 5, 2, 3, 2, 3, 5, 4, 2, 1, 4, 2, 4]","[0, 30, 90, 210, 270, 330, 405, 480, 540, 555, 570, 585, 600, 630, 645, 675]"
